Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;07 Castilla y León;Total;2014;2.494.790
Total;07 Castilla y León;Total;2013;2.519.875
Total;07 Castilla y León;Total;2012;2.546.078
Total;07 Castilla y León;Total;2011;2.558.463
Total;07 Castilla y León;Total;2010;2.559.515
Total;07 Castilla y León;Total;2009;2.563.521
Total;07 Castilla y León;Total;2008;2.557.330
Total;07 Castilla y León;Total;2007;2.528.417
Total;07 Castilla y León;Total;2006;2.523.020
Total;07 Castilla y León;Total;2005;2.510.849
Total;07 Castilla y León;Total;2004;2.493.918
Total;07 Castilla y León;Total;2003;2.487.646
Total;07 Castilla y León;Total;2002;2.480.369
Total;07 Castilla y León;Total;2001;2.479.425
Total;07 Castilla y León;Total;2000;2.479.118
Total;07 Castilla y León;Total;1999;2.488.062
Total;07 Castilla y León;Total;1998;2.484.603
Total;07 Castilla y León;Total;1997;""
Total;07 Castilla y León;Total;1996;2.508.496
Total;07 Castilla y León;Hombres;2021;1.173.114
Total;07 Castilla y León;Hombres;2020;1.178.846
Total;07 Castilla y León;Hombres;2019;1.181.401
Total;07 Castilla y León;Hombres;2018;1.186.363
Total;07 Castilla y León;Hombres;2017;1.195.251
Total;07 Castilla y León;Hombres;2016;1.206.775
Total;07 Castilla y León;Hombres;2015;1.219.616
Total;07 Castilla y León;Hombres;2014;1.232.250
Total;07 Castilla y León;Hombres;2013;1.246.377
Total;07 Castilla y León;Hombres;2012;1.261.141
Total;07 Castilla y León;Hombres;2011;1.267.671
Total;07 Castilla y León;Hombres;2010;1.268.860
Total;07 Castilla y León;Hombres;2009;1.272.020
Total;07 Castilla y León;Hombres;2008;1.269.338
Total;07 Castilla y León;Hombres;2007;1.251.082
Total;07 Castilla y León;Hombres;2006;1.247.158
Total;07 Castilla y León;Hombres;2005;1.240.450
Total;07 Castilla y León;Hombres;2004;1.231.258
Total;07 Castilla y León;Hombres;2003;1.228.177
Total;07 Castilla y León;Hombres;2002;1.223.935
